SR_NUMBER,SR_TYPE,SR_SHORT_CODE,OWNER_DEPARTMENT,STATUS,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-00501973,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:12:26 PM,03/28/2022 1:12:27 PM,03/28/2022 1:12:27 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501972,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:12:25 PM,03/28/2022 1:12:26 PM,,2469 W CULLOM AVE,,,60618,2469,W,CULLOM,AVE,FALSE,FALSE,,,5,47,,J012,1,19,1911,21,,13,2,3,1158872.796,1928409.031,41.95929712,-87.69131177,"(41.959297116477835°, -87.69131177125024°)"
SR22-00501971,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Open,03/28/2022 1:12:22 PM,03/28/2022 1:12:24 PM,,652 E BOWEN AVE,,,60653,652,E,BOWEN,AVE,FALSE,FALSE,,,38,4,,R031,1,2,214,32,,13,2,3,1181477.15,1877704.912,41.81966808,-87.60978128,"(41.81966807780303°, -87.60978128301531°)"
SR22-00501970,Aircraft Noise Complaint,AVN,Aviation,Completed,03/28/2022 1:12:19 PM,03/28/2022 1:12:20 PM,03/28/2022 1:12:20 PM,10510 W ZEMKE RD,Chicago,IL,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501969,Garbage Cart Maintenance,SIE,Streets and Sanitation,Open,03/28/2022 1:12:15 PM,03/28/2022 1:12:16 PM,,8324 W BALMORAL AVE,,,60656,8324,W,BALMORAL,AVE,FALSE,FALSE,,,10,41,,V109,1,16,1614,23,,13,2,3,1119759.137,1935066.292,41.97827953,-87.83497076,"(41.97827953307027°, -87.83497076335046°)"
SR22-00501968,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:12:13 PM,03/28/2022 1:12:13 PM,03/28/2022 1:12:13 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501966,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:12:03 PM,03/28/2022 1:12:03 PM,03/28/2022 1:12:03 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501965,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Open,03/28/2022 1:11:59 PM,03/28/2022 1:12:01 PM,,2641 N CLARK ST,,,60614,2641,N,CLARK,ST,FALSE,FALSE,,,7,43,,O016,3,19,1935,36,,13,2,3,1171889.951,1918078.933,41.93067336,-87.64376097,"(41.93067336244502°, -87.6437609667584°)"
SR22-00501964,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Open,03/28/2022 1:11:38 PM,03/28/2022 1:11:42 PM,,12 S WACKER RAMP,,,60606,12,S,WACKER,RAMP,FALSE,FALSE,,,32,42,,P023,2,1,122,9,,13,2,3,1173875.196,1900185.437,41.88152866,-87.63699947,"(41.88152865637649°, -87.63699946617564°)"
SR22-00501963,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:11:20 PM,03/28/2022 1:11:21 PM,03/28/2022 1:11:21 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
