SR_NUMBER,SR_TYPE,SR_SHORT_CODE,OWNER_DEPARTMENT,STATUS,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-00501905,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:06:26 PM,03/28/2022 1:06:27 PM,03/28/2022 1:06:27 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501904,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Open,03/28/2022 1:06:18 PM,03/28/2022 1:06:21 PM,,4728 W BERTEAU AVE,,,60641,4728,W,BERTEAU,AVE,FALSE,FALSE,,,15,45,,E012,2,17,1722,12,,13,2,3,1143753.018,1927307.885,41.95657288,-87.74692672,"(41.95657287495339°, -87.746926716756°)"
SR22-00501902,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:05:59 PM,03/28/2022 1:06:01 PM,,6522 N TALMAN AVE,,,60645,6522,N,TALMAN,AVE,FALSE,FALSE,,,2,50,,J006,1,24,2412,36,,13,2,3,1157395.791,1943284.414,42.00014613,-87.69633519,"(42.00014613164137°, -87.69633518784339°)"
SR22-00501901,Aircraft Noise Complaint,AVN,Aviation,Completed,03/28/2022 1:05:53 PM,03/28/2022 1:05:54 PM,03/28/2022 1:05:53 PM,10510 W ZEMKE RD,Chicago,IL,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501900,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:05:49 PM,03/28/2022 1:05:50 PM,03/28/2022 1:05:50 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501899,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:05:43 PM,03/28/2022 1:05:44 PM,03/28/2022 1:05:44 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501898,Tree Trim Request,SEF,Streets and Sanitation,Open,03/28/2022 1:05:14 PM,03/28/2022 1:05:16 PM,,5322 W JACKSON BLVD,,,60644,5322,W,JACKSON,BLVD,FALSE,FALSE,,,25,29,,C023,2,15,1522,28,,13,2,3,1140789.494,1898216.363,41.87679766,-87.75853836,"(41.87679766105902°, -87.758538361913°)"
SR22-00501897,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:05:14 PM,03/28/2022 1:05:14 PM,03/28/2022 1:05:14 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501896,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:05:11 PM,03/28/2022 1:05:12 PM,,2477 W CULLOM AVE,,,60618,2477,W,CULLOM,AVE,FALSE,FALSE,,,5,47,,J012,1,19,1911,21,,13,2,3,1158836.6,1928445.525,41.959398,-87.69144384,"(41.95939800223971°, -87.69144383920093°)"
SR22-00501895,Fly Dumping Complaint,SDR,Streets and Sanitation,Open,03/28/2022 1:05:05 PM,03/28/2022 1:05:07 PM,,1403 W 62ND ST,,,60636,1403,W,62ND,ST,FALSE,FALSE,,,67,16,,M036,1,7,713,34,,13,2,3,1167990.758,1863546.041,41.7811155,-87.65966183,"(41.78111550239762°, -87.6596618336836°)"
SR22-00501894,Aircraft Noise Complaint,AVN,Aviation,Completed,03/28/2022 1:05:03 PM,03/28/2022 1:05:04 PM,03/28/2022 1:05:03 PM,10510 W ZEMKE RD,Chicago,IL,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501892,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:05:00 PM,03/28/2022 1:05:00 PM,03/28/2022 1:05:00 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501891,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:04:58 PM,03/28/2022 1:04:58 PM,03/28/2022 1:04:58 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501890,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:04:56 PM,03/28/2022 1:04:56 PM,03/28/2022 1:04:56 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501889,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:04:55 PM,03/28/2022 1:04:56 PM,,6515 N TALMAN AVE,,,60645,6515,N,TALMAN,AVE,FALSE,FALSE,,,2,50,,J006,1,24,2412,36,,13,2,3,1157552.064,1943223.967,41.99997707,-87.69576195,"(41.99997706955622°, -87.69576194825127°)"
SR22-00501888,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:04:54 PM,03/28/2022 1:04:54 PM,03/28/2022 1:04:54 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501887,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Completed,03/28/2022 1:04:44 PM,03/28/2022 1:05:49 PM,03/28/2022 1:05:49 PM,71 E 51ST ST,,,60615,71,E,51ST,ST,FALSE,FALSE,,,40,3,,Q034,2,2,225,16,,13,2,3,1177911.601,1871207.367,41.80191989,-87.62305807,"(41.80191988592685°, -87.6230580665626°)"
SR22-00501886,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Open,03/28/2022 1:04:37 PM,03/28/2022 1:04:39 PM,,826 E 44TH ST,,,60653,826,E,44TH,ST,FALSE,FALSE,,,39,4,,S032,2,2,221,29,,13,2,3,1182657.193,1876088.774,41.81520593,-87.60550267,"(41.81520592468883°, -87.60550266953445°)"
